year,P_station_mm,P_sat_mm,P_corrected_mm,n_rows,expected,completeness,raster_v2_mm,raster_v3_mm,raster_v4_mm,pbias_v2_pct,abs_pbias_v2,pbias_v3_pct,abs_pbias_v3,pbias_v4_pct,abs_pbias_v4,ext_idx,is_extreme
2001,691.7,498.81998918484896,501.9127381636927,2920,2920,1.0,469.3118024772617,506.4776594885625,506.4776594885625,-32.15096104130957,32.15096104130957,-26.777843069457504,26.777843069457504,-26.777843069457504,26.777843069457504,0.8838342810722993,False
2002,580.0,517.6029882691801,522.108954119935,2920,2920,1.0,503.4029598501511,528.6172817270271,541.2629618798383,-13.20638623273257,13.20638623273257,-8.859089357409113,8.859089357409113,-6.678799675889955,6.678799675889955,0.02355808285946366,False
2003,499.0,516.3139868117869,520.1115927876325,2920,2920,1.0,487.9246632116847,527.8190270569175,527.8190270569175,-2.219506370403873,2.219506370403873,5.775356123630771,5.775356123630771,5.775356123630771,5.775356123630771,0.6815597075548332,False
2004,579.2,547.7979884045199,550.6570374877954,2928,2928,1.0,548.2694431100964,563.3604432595894,563.3604432595894,-5.340220457510987,5.340220457510987,-2.7347301002090245,2.7347301002090245,-2.7347301002090245,2.7347301002090245,0.030056864337936078,False
2005,506.5,467.3829894270748,470.36762816475425,2920,2920,1.0,446.9176887604408,480.544083986897,480.544083986897,-11.763536276319684,11.763536276319684,-5.124563872280944,5.124563872280944,-5.124563872280944,5.124563872280944,0.6206336311941508,False
2006,585.8,543.8239867752418,543.9223022125516,2920,2920,1.0,523.5093364505967,559.1202896335162,559.1202896335162,-10.633435225231008,10.633435225231008,-4.554406003155298,4.554406003155298,-4.554406003155298,4.554406003155298,0.02355808285946366,False
2007,675.3,624.7514844778925,633.9650437359078,2920,2920,1.0,614.8212539329957,643.0035596033558,664.6263092900626,-8.955833861543654,8.955833861543654,-4.782532266643585,4.782532266643585,-1.5805850303475966,1.5805850303475966,0.7506092607636065,False
2008,681.6,622.9219855759293,628.3659762051057,2928,2928,1.0,593.2567033160835,641.1117301424965,662.7788106235676,-12.961164419588686,12.961164419588686,-5.9401804368403015,5.9401804368403015,-2.761324732457816,2.761324732457816,0.8017871649065802,False
2009,424.0,421.51699002459645,421.49857942094496,2920,2920,1.0,398.4419920705259,428.7598432954401,444.7070854366757,-6.027832058838235,6.027832058838235,1.1226045508113391,1.1226045508113391,4.883746565253702,4.883746565253702,1.2908204711616567,True
2010,523.8,427.7604899536818,438.73410253829695,2920,2920,1.0,428.68289334256485,445.89183207647875,445.89183207647875,-18.159050526429002,18.159050526429002,-14.873647942634824,14.873647942634824,-14.873647942634824,14.873647942634824,0.4800974817221772,False
2011,726.6,596.8674861863256,606.0971702882417,2920,2920,1.0,587.7282973977271,617.1336369542405,638.6141607547179,-19.112538205652747,19.112538205652747,-15.065560562312072,15.065560562312072,-12.109253956135719,12.109253956135719,1.1673436230706744,True
2012,622.0,573.6779873613268,581.7178530443588,2928,2928,1.0,572.8625959018245,592.6242004097439,614.9549851929769,-7.899904195848145,7.899904195848145,-4.722797361777502,4.722797361777502,-1.132639036498892,1.132639036498892,0.31762794476035755,False
2013,554.0,560.3584860488772,558.9901570710608,2920,2920,1.0,549.8044589618221,573.0423357570544,588.0517053911462,-0.7573178769274201,0.7573178769274201,3.4372447214899617,3.4372447214899617,6.146517218618455,6.146517218618455,0.23476848090982919,False
2014,509.4,514.3199869664386,521.9389724299716,2920,2920,1.0,504.5297718355432,529.7977846888825,529.7977846888825,-0.9560714889000319,0.9560714889000319,4.004276538846202,4.004276538846202,4.004276538846202,4.004276538846202,0.5970755483346871,False
2015,548.6,506.63548944471404,516.858975750941,2920,2920,1.0,510.27493272422623,525.2970127495937,525.2970127495937,-6.985976535868353,6.985976535868353,-4.2477191488163175,4.2477191488163175,-4.2477191488163175,4.2477191488163175,0.2786352558895203,False
2016,598.3,583.4054861180484,596.3511402797601,2928,2928,1.0,598.2551119634829,604.7562922667712,628.0429513677955,-0.007502596777038703,0.007502596777038703,1.079106178634672,1.079106178634672,4.97124375192972,4.97124375192972,0.12510154346060093,False
2017,661.1,592.9149857247248,601.0418211349763,2920,2920,1.0,600.2591196838766,608.8728663148358,632.4218904743902,-9.202976904571681,9.202976904571681,-7.90003534792984,7.90003534792984,-4.337938212919344,4.337938212919344,0.6352558895207151,False
2018,483.5,462.202488232404,474.12233567639794,2920,2920,1.0,470.4449692456983,481.58440093602985,481.58440093602985,-2.7001097733819432,2.7001097733819432,-0.39619422212412586,0.39619422212412586,-0.39619422212412586,0.39619422212412586,0.8074735987002434,False
2019,611.5,588.6244863932952,604.0407656066785,2920,2920,1.0,599.5216324587818,610.206004273612,632.5837747426704,-1.9588499658574288,1.9588499658574288,-0.21161009425804544,0.21161009425804544,3.4478781263565588,3.4478781263565588,0.23233143785540225,False
2020,588.6,623.7129845330492,643.3368088172194,2928,2928,1.0,621.3309436626732,651.2409840542823,651.2409840542823,5.560812718768809,5.560812718768809,10.642369020435318,10.642369020435318,10.642369020435318,10.642369020435318,0.04630381803411896,False
2021,498.4,529.7094881813973,546.3179770583916,2920,2920,1.0,533.3695731784683,551.8201214894652,551.8201214894652,7.0163670101260625,7.0163670101260625,10.718322931273127,10.718322931273127,10.718322931273127,10.718322931273127,0.686433793663688,False
2022,735.0,607.8919857754372,625.7390999490673,2920,2920,1.0,613.9691349423355,633.7947865305468,651.7104544315953,-16.46678436158701,16.46678436158701,-13.769416798565054,13.769416798565054,-11.331910961687717,11.331910961687717,1.2355808285946384,True
