wmo,n_years,annual_pbias_raw_mean,annual_pbias_corr_mean,annual_pbias_raw_abs_mean,annual_pbias_corr_abs_mean,annual_pbias_raw_abs_med,annual_pbias_corr_abs_med
35127,24,9.54293746149864,9.573417236237784,11.331898981316987,13.056170765573581,9.424800835865206,9.546541288238673
28719,24,-23.620794886625532,-12.172756471572763,23.620794886625532,12.491641955565578,24.80600946821943,13.49513168294227
34391,24,13.17740423678593,13.17740423678593,15.577505197585777,15.577505197585777,13.585372775469043,13.585372775469043
23022,24,53.23570804208277,33.66780583396387,53.23570804208277,33.66780583396387,51.635325216405505,34.62998446874942
37001,24,13.129997362178825,13.346639478340272,15.221705023176845,14.944870160315554,12.629732763150201,10.913635140110584
37031,24,25.307238362775877,16.609873838218245,25.464855212648203,17.27168731861908,25.189516008957128,14.349608862297652
22550,24,-7.307823139148777,-5.537423699563559,8.469806936162744,7.40444957054081,5.7653015872862365,5.116755487695883
34880,24,13.661470794907396,9.33667418101324,16.177513970094466,13.221938916078443,12.444525326764778,9.260888006659673
37663,24,4.280157620491564,6.062432122242803,11.637076787025991,13.203219479004543,8.348477856044289,9.553249736435713
27008,24,-6.877038940202265,-5.162817234472046,11.03225827128898,10.299577942709357,9.097816055232972,7.780937000379149
34152,24,-1.325750531124079,0.00023489618994136188,7.9949365989957615,7.882465449028861,7.879601858931361,6.888386685348573
26701,24,52.238213849871464,37.23953345628015,52.238213849871464,37.845781505933665,52.58205787333031,37.9321164396089
20107,24,-5.448432138947233,-1.954205860617911,10.865612001709552,9.862131762342424,9.89502505826577,9.167265707783738
27995,24,3.23282316554819,3.23282316554819,7.068565586814766,7.068565586814766,5.846461871954371,5.846461871954371
26069,24,-5.657843569008153,-5.657843569008153,9.220981767130162,9.220981767130162,8.070885363484797,8.070885363484797
28138,24,-27.419464240602313,-14.011093186418961,27.419464240602313,15.018398953173795,26.951676043459948,14.62758272878295
34110,24,-4.857237059516117,-4.154860267489169,6.081046581992292,5.626619173550815,4.820229657800296,4.193752419165287
26298,24,-8.354657931716169,-8.354657931716169,9.144127313784324,9.144127313784324,7.05679483609611,7.05679483609611
35041,24,-4.034664080628111,-4.034664080628111,8.743922693212125,8.743922693212125,8.195811225856591,8.195811225856591
26898,24,-2.0985972217489715,-2.0985972217489715,9.359655626933447,9.359655626933447,8.794816691553573,8.794816691553573
37061,24,14.598135778175655,12.243988120287339,16.824547316595854,14.85370231022195,13.280817349256655,12.984048662165794
37471,24,-5.559214594138425,-1.752718870733639,11.004538496057025,11.65096754919432,10.446060859897102,10.595783224071997
22003,24,43.20002587829973,22.59792222888674,43.43099547711648,26.44190845476233,36.098377083046216,17.15462174924845
34321,24,2.009746415718928,2.009746415718928,5.043282866374598,5.043282866374598,3.712734428712128,3.712734428712128
26477,24,0.04493907069689026,2.2705457422472284,5.67809630996429,6.421903255216663,4.938986862328068,4.494922088224578
22981,24,1.737472781400629,2.4288677609234184,5.395709038240857,5.566141205615064,5.097621652616978,3.9355044227207365
28445,24,-7.491095753162625,-6.48886231747979,8.695800553945114,8.213285216295363,8.842546579651207,7.523414120147377
28833,24,63.734419846451196,55.8212811434202,65.5219753864959,59.89697574459016,10.52435275336164,8.334575618662381
34579,24,16.550741075735214,13.077786379962532,18.055783184419365,16.823963144501512,17.69077140789245,16.36131262458978
28144,24,-5.0787559656768275,-2.8760779574788864,8.218467791725297,8.114703066832556,8.41867440424058,7.736308251963328
27277,24,-11.731771849516958,-2.890948585029058,11.78105955951641,8.049449670320316,11.563764556912055,6.047426188245362
37228,24,-3.938389671630316,0.22769866181116352,10.917089036038172,10.417178676253195,8.876013054880817,9.519581999411681
34561,24,16.748179017713934,12.202069192359128,18.123126779117285,15.748529539123842,16.540830580471194,16.60955083514584
27037,24,3.470562349509924,3.470562349509924,6.7212974664338345,6.7212974664338345,5.123519648549207,5.123519648549207
34123,24,-3.157131180800194,-1.5672988031167503,5.5165042564836115,5.968988227151274,4.885055826698009,6.521148199839093
22892,24,-17.398270040592944,-9.239547477346262,17.398270040592944,10.999690788543717,16.95287270159963,9.380988026774272
22837,24,-11.313394408973755,-7.192551182163953,12.023000930119375,10.442893525656961,10.739125616621788,9.239608423673658
26157,24,-2.299436773625786,-2.299436773625786,7.6721679480014915,7.6721679480014915,6.495436023902278,6.495436023902278
34740,24,28.31220543340127,18.85555858442648,28.31220543340127,19.070194324375663,30.351657246783724,19.885954599230043
34202,24,-1.793946972453331,-1.793946972453331,7.187028238844583,7.187028238844583,6.924281836071084,6.924281836071084
22422,24,107.84226756312881,80.42819493746462,107.84226756312881,80.80652080067583,43.93359878071239,26.113243550437534
37235,24,282.225494333668,266.9715266782154,289.5890992720096,276.55536032213007,8.556235995159323,9.23391607394698
37244,24,5.254590772345824,3.865478085203432,11.696319295783171,11.290292093278138,10.026070655884592,8.436839965200093
28312,24,-6.602906531634318,-2.478216445644746,7.903015491800442,7.581879969830841,6.775528331101238,6.384943641811904
37470,24,10.222988590773495,10.222988590773495,22.69564160161946,22.69564160161946,22.365458513256236,22.365458513256236
35233,24,7.654995900140583,7.654995900140583,11.363798484480242,11.363798484480242,9.478014775366374,9.478014775366374
28537,24,-2.121434669396626,-2.121434669396626,8.150256863286211,8.150256863286211,8.40341799335007,8.40341799335007
28440,24,0.8190847457244758,0.8190847457244758,6.26220822334124,6.26220822334124,5.550817664454185,5.550817664454185
28506,24,-11.515524674386691,-9.498161098511465,12.371547487079534,11.07624233982616,12.85968830877076,11.876763105021578
27648,24,-9.020131003123092,-3.0554655715845,9.90677982074139,8.472369005856898,9.01919784521684,8.467154970675445
23220,24,-15.853469620687434,-14.508331753023024,16.33998080615851,15.427410490216358,16.841860127662382,15.236034042916161
34186,24,8.879067198640236,8.879067198640236,10.334726963930727,10.334726963930727,9.14026477522189,9.14026477522189
26706,24,7.699670357745625,7.699670357745625,8.774416629345378,8.774416629345378,8.408251624068408,8.408251624068408
22438,24,329.8210160167932,176.69805890509545,329.8210160167932,176.7935670584745,104.83267453191641,37.95542131982138
37112,24,16.612713511069547,14.745206239710024,17.59732505007683,16.84482039835151,12.735708031115319,10.635342606437362
27857,24,2.919263291945945,2.919263291945945,7.043644131168866,7.043644131168866,5.502665077044702,5.502665077044702
35026,24,-16.702216729346308,-5.594533846644214,16.702216729346308,9.879595594964803,15.56159852420716,8.53885066202956
28630,24,3.995770670844783,4.99734146049618,8.754375450143819,9.73351436821158,7.231602302087914,7.5288234585571185
23921,24,0.19607314522747746,0.19607314522747746,5.98525752534096,5.98525752534096,4.2660560464369,4.2660560464369
28411,24,-7.712375173295708,-3.3655739389117127,8.294964768524087,6.36423494316911,7.032352184182784,4.852442724744135
20946,23,250.3372209795436,125.6755486619159,250.3372209795436,125.6755486619159,201.9184966451977,89.9277174953931
20046,21,107.78851283152405,63.342812041100466,107.78851283152405,64.28059687322445,54.85150132845838,31.651320900397717
22292,24,78.89475389162249,46.88795683449779,78.89475389162249,47.98804316029949,56.60065057400185,28.665131954524377
27872,24,-2.600490669238115,-2.600490669238115,7.373322801630387,7.373322801630387,7.766261602241732,7.766261602241732
23514,24,-18.339472250551108,-11.560132804268717,18.339472250551108,11.965065923763037,19.356910505695765,12.936734686830446
27485,24,-0.9374480757701392,0.45255309257090515,6.505641655805301,6.435958599688764,6.461760175655151,6.644253023311435
27595,24,-7.223847491271095,-5.734312608412931,8.709749691297594,7.943221076931249,7.325464964565365,6.804982607859108
34247,24,-0.08029035931338058,-0.08029035931338058,7.895223176789089,7.895223176789089,6.825234202506027,6.825234202506027
22408,24,-11.907385094871822,-11.907385094871822,12.143015027826982,12.143015027826982,13.987268329328078,13.987268329328078
26702,24,-0.22302188140859966,3.563459906458443,10.013616839469524,11.074348713677054,9.205571015895927,8.635326669083586
34139,24,2.6543899023075355,3.212897772334429,5.5865076342265,6.196192717231285,3.6716612956083714,4.0677559635924965
22217,24,19.071023278857453,12.818392867836502,19.214303089503527,13.032925362982667,16.979810151759114,13.218565020507357
22249,24,-18.9951523091671,-13.40091943169584,19.475847286566808,14.924796728328772,19.581612706265503,14.240439835556034
22165,24,146.59173422848104,117.24755855028353,146.96943050024979,118.75801891022213,41.804132514013176,26.15383284864635
22845,24,-11.872409544968482,-10.0363908402754,12.219365039669094,11.091312745393639,13.677679027534491,12.665465229498047
22520,24,29.599350999872282,19.10071721975474,29.599350999872282,19.10071721975474,29.271055474779523,16.11332439668406
33983,24,72.72858474362789,43.91788900328296,72.72858474362789,43.942592861801245,66.35754840584602,38.79101527054077
28402,24,-7.251755913049139,-5.934253420316803,9.179416176586273,8.58619829068217,6.618214469470268,5.865469248211591
28009,24,-9.841387243301918,-3.8620658054144656,9.88136475855842,6.710238252991221,10.534775682105094,5.654718578007833
37123,24,11.147176403976614,11.246442092856114,17.57142605589546,17.74609128338116,15.148122826862641,12.50727241183667
37196,24,-27.895963810968265,-5.260858691990442,32.9949055923031,22.993015780501043,34.25729685504545,16.04344982521623
22204,24,-13.48698113978464,-9.485943858057771,13.48698113978464,9.485943858057771,11.146210037081104,8.429713072189404
23904,24,-10.247330488961252,-5.935639788897878,11.095616533834905,7.882242466783349,9.767566167066512,6.623506862994223
22583,24,-8.354639979311047,-7.4849663623649265,10.613267480405677,9.781057872945564,8.399525439608235,7.433529211537662
22095,24,257.18603745436053,145.15802129911597,257.18603745436053,145.15802129911597,110.58155339213877,46.724734074783015
27164,24,-1.6812110291863263,0.3176864762418029,9.575172097273988,8.117284013011101,9.419726143990276,7.922890655508281
27625,24,-1.9051108828905654,-1.049916573962897,5.047939656608535,5.2143243360794544,4.964413808912909,5.181305865432611
34026,24,3.816580314973198,3.893144584701048,6.775535801101296,6.673013001939833,5.861391125390948,5.609805471028995
27333,24,1.9746446250088876,4.852945048688473,6.647446322090054,8.421802123107414,6.499218808140469,8.87819162611294
22887,24,0.3050368766715147,0.3050368766715147,7.211599526935873,7.211599526935873,4.889336075587714,4.889336075587714
26976,24,-3.3787787965593012,-3.3787787965593012,9.383333703841032,9.383333703841032,8.396262382442405,8.396262382442405
37107,24,-13.573697847198973,-4.411037995522025,13.573697847198973,9.410048480273252,11.654271568050603,6.714697521329327
34927,24,40.75951707082179,26.31738580656312,40.75951707082179,26.31738580656312,39.429872440740766,23.93738898978556
27756,24,0.6122257289674499,0.6122257289674499,5.94634653140029,5.94634653140029,4.484564743509294,4.484564743509294
28434,24,-7.068632312018386,-5.9011436924778025,7.825604197913599,7.35320903616826,7.123600791648204,5.958287313673537
22235,24,-19.702818512417778,-12.465519871455946,19.702818512417778,12.501328097396089,19.83174923729677,12.210806718977732
27296,24,-8.763062328712612,-2.1877588310749454,9.516376905377163,8.147779205416176,8.25193712131826,6.898066953271579
34009,24,-9.746685373422851,-4.327930052324869,9.921638528711911,7.221103513250749,8.236953461232869,6.868484280884792
28624,24,-6.170699505009735,-4.807830840331014,8.125803589864832,7.574638383288371,6.718075622843877,6.156518785819399
34984,24,27.587137179528728,18.77421660007517,29.944252611384115,22.245088608475697,28.67039898304282,20.490023735982952
27665,24,-2.351549341253,-2.351549341253,5.902936874338018,5.902936874338018,5.147230811450139,5.147230811450139
27208,24,-8.023550460879257,-3.1826250838406964,8.896503453914024,7.309208109304219,6.988549815694027,6.06456380571851
20744,24,65.29661055164608,33.653620511146244,65.29661055164608,34.03367896549482,57.53978569449373,27.82917726107415
23032,24,118.47706295376854,123.08519171630174,118.66458952801672,123.53533810706726,42.02638803845328,41.193809103710585
37472,24,19.13091038317006,17.003432243771673,23.919035009016852,23.415785071186182,22.46124835720856,20.240233312810673
22471,24,-9.90629061349531,-7.06321980366598,10.122556601751059,8.03936643223445,10.493729979000442,7.155452878844212
37054,24,27.756206866028226,17.52096177720883,27.756206866028226,17.52096177720883,25.982846521995835,16.554960077329504
27509,24,-5.021578236205749,-5.021578236205749,8.18176510968412,8.18176510968412,6.385218365759631,6.385218365759631
27612,24,-6.790771208701369,-5.5729619007143505,7.962442131574398,7.388681228464475,8.131566875104058,6.380207545287718
22113,24,14.18175645145224,8.16935392849672,15.234971812589214,10.344988983787953,16.838214714238486,10.053168130860609
23114,24,143.6001625471134,80.38495947272922,143.6001625471134,80.38495947272922,84.6636533965727,31.87907419794405
23205,24,-3.54683729847787,-3.5468485445922258,9.696305978393847,9.81415180802488,7.97513114107535,7.403506615833063
27459,24,-8.288644255640056,-5.747791396691464,9.300786873129553,7.159118055642637,8.069782820936862,5.7105305000600195
27066,24,-12.324667042911235,-3.404866452176671,12.498015667175679,8.91848046888091,10.35518462571326,7.244864798983603
34289,24,12.42459118596816,11.268301550087623,15.334744336482865,14.005601564679163,14.065195783614197,15.35505420726521
23724,24,-0.7745760765543569,-0.7745760765543569,7.3913627776812625,7.3913627776812625,5.930105517151562,5.930105517151562
22854,24,-23.41920613397295,-13.347664328406879,23.41920613397295,13.90131104356207,23.27151347680114,12.484240992919313
34163,24,11.820034560201128,11.820034560201128,13.266993730638703,13.266993730638703,12.624968422180704,12.624968422180704
22641,24,-5.225181773119869,0.5980878477703856,7.6704496987609545,9.312164513580148,5.841764979541946,8.04656291998639
27083,24,-13.482010530863827,-6.405483026527108,13.482010530863827,9.20290156493534,14.880726035229792,8.073928094050215
35121,24,5.713696288830313,5.323456843452358,8.732526185466979,8.367066374627608,6.542163510846681,7.098578947817316
27823,24,0.8352306001566253,0.8352306001566253,5.830866055046868,5.830866055046868,5.312614441246252,5.312614441246252
22619,24,10.133327051938235,7.558777961421275,11.625937724929443,9.761891240679505,12.21402329106406,10.717547289387266
27962,24,1.6927200644103155,1.6927200644103155,6.009288705153549,6.009288705153549,4.323210187671966,4.323210187671966
35007,24,-6.689422574635159,-3.7937577188923903,7.333833164737324,6.238799428307071,6.771485289898246,4.831709516464621
27425,24,0.726224249929364,0.726224249929364,7.7712808774595175,7.7712808774595175,7.111338890903347,7.111338890903347
28224,24,-19.82894386149791,-9.867514916661783,19.896002328191944,12.785827191034405,22.21310584885209,12.690650962087961
22820,24,2.7851247923691425,2.4998195697621157,8.08716894406978,8.276146522887062,5.796793807015094,5.485758567989257
23324,24,-12.46797499834561,-9.89213032793805,14.56350509387621,12.705290649808907,13.429148018674486,11.348762993416385
23418,24,-4.066644659689857,-3.329619772973261,8.001401740191945,7.677764682165628,5.851066097557894,5.893045609407169
27814,24,-0.11503191370866861,-0.11503191370866861,9.74408431802289,9.74408431802289,9.561450252124091,9.561450252124091
22019,24,4.569172487915768,4.941038854396068,11.543694812118863,11.629768507242071,9.965973735022956,10.603652805330775
34003,24,-7.845471949771313,-2.6982687571694526,8.325133931034411,7.0915501027989505,7.867259483034106,6.116279712049581
27675,24,14.523589908613081,13.814633496626518,15.154500438965485,14.608481539948778,13.339651794733697,13.240692781193234
34824,24,41.88200622611082,26.345150873038875,41.88200622611082,26.345150873038875,41.37875001052343,25.704578912494526
26258,24,-2.433304898101396,-2.433304898101396,7.358944667469115,7.358944667469115,5.954309850619106,5.954309850619106
26359,24,-4.130541677639532,-2.7702072226036267,7.136439495217654,6.743962382721577,5.83901436076024,5.501107431903087
22602,24,-9.019304042306846,-9.019304042306846,9.580107336904506,9.580107336904506,8.735253818496009,8.735253818496009
34759,24,18.493895850812823,12.47116681417628,18.590630425948806,13.64260462006458,16.066643055053216,12.771014109829352
34059,24,7.014192971113285,7.131172552924276,10.001956383087917,10.041851330008008,7.2263568330409225,5.9236876289536085
34730,20,7.378040943525768,5.461094691745721,10.929177173767048,10.398652505786913,7.7884926916503145,6.80442288675963
27225,24,-8.722404274993954,-0.3021487930114901,9.340304129604185,10.267201035433812,6.373527661916066,8.955326538948775
33166,24,-11.170978048713545,-9.40758731118764,11.170978048713545,9.50124054332852,10.97923455183,8.655734220594418
