year,raster_new_mm,raster_old_mm,P_station_mm,P_sat_mm,P_corrected_mm,n_rows,expected,completeness,pbias_new_pct,pbias_old_pct,pbias_rawsat_pct,pbias_qmcsv_pct
2001,469.3118024772617,854.5157313561067,691.7,498.81998918484896,529.7474789732867,2920,2920,1.0,-32.15096104130957,23.53848942548889,-27.8849227721774,-23.413693946322592
2002,503.4029598501511,873.442962306086,580.0,517.6029882691801,562.6626467767294,2920,2920,1.0,-13.20638623273257,50.593614190704486,-10.758105470831024,-2.9891988315983813
2003,487.9246632116847,991.6815325599164,499.0,516.3139868117869,554.2900465702436,2920,2920,1.0,-2.219506370403873,98.73377406010349,3.469736836029437,11.080169653355428
2004,548.2694431100964,996.0297664813697,579.2,547.7979884045199,576.388479237276,2928,2928,1.0,-5.340220457510987,71.96646520741879,-5.421618024081524,-0.48541449632666744
2005,446.9176887604408,882.7015975485556,506.5,467.3829894270748,497.2293768038699,2920,2920,1.0,-11.763536276319684,74.27474778846113,-7.723003074615047,-1.8303303447443413
2006,523.5093364505967,924.6035861866549,585.8,543.8239867752418,544.8071411483403,2920,2920,1.0,-10.633435225231008,57.83605090246755,-7.165587781624814,-6.997756717592978
2007,614.8212539329957,1195.3048160197213,675.3,624.7514844778925,716.887077058046,2920,2920,1.0,-8.955833861543654,77.00352673178163,-7.485342147505915,6.158311425743525
2008,593.2567033160835,1132.0236302460544,681.6,622.9219855759293,677.361891867694,2928,2928,1.0,-12.961164419588686,66.08327908539529,-8.60886361855498,-0.6217881649510012
2009,398.4419920705259,740.6964108641259,424.0,421.51699002459645,421.3328839880819,2920,2920,1.0,-6.027832058838235,74.69254973210518,-0.5856155602366857,-0.629036795263702
2010,428.68289334256485,888.1512677459978,523.8,427.7604899536818,537.4966157998334,2920,2920,1.0,-18.159050526429002,69.55923401030887,-18.33514892064111,2.6148560137139114
2011,587.7282973977271,1149.860147638712,726.6,596.8674861863256,689.1643272054878,2920,2920,1.0,-19.112538205652747,58.25215354234958,-17.854736280439646,-5.152170767205098
2012,572.8625959018245,1019.1514773704112,622.0,573.6779873613268,654.0766441916466,2928,2928,1.0,-7.899904195848145,63.85071983447125,-7.768812321330095,5.157016751068577
2013,549.8044589618221,949.1115480205044,554.0,560.3584860488772,546.6751962707131,2920,2920,1.0,-0.7573178769274201,71.31977401092138,1.1477411640572635,-1.322166738138437
2014,504.5297718355432,962.1145381922834,509.4,514.3199869664386,590.5098416017694,2920,2920,1.0,-0.9560714889000319,88.87211193409567,0.9658396086451932,15.922623007807108
2015,510.27493272422623,1889.0872515812516,548.6,506.63548944471404,608.8703525069835,2920,2920,1.0,-6.985976535868353,244.34692883362223,-7.649382164652932,10.986210810605815
2016,598.2551119634829,1082.2897315360606,598.3,583.4054861180484,712.8620277351657,2928,2928,1.0,-0.007502596777038703,80.89415536287157,-2.4894724857014086,19.147923739790368
2017,600.2591196838766,1030.2281972724013,661.1,592.9149857247248,674.1833398272396,2920,2920,1.0,-9.202976904571681,55.83545564550012,-10.313872980679957,1.9790258398486718
2018,470.4449692456983,857.1662289593369,483.5,462.202488232404,581.4009626723436,2920,2920,1.0,-2.7001097733819432,77.28360474857018,-4.404862826803725,20.24838938414551
2019,599.5216324587818,1096.5816671648063,611.5,588.6244863932952,742.7872785271284,2920,2920,1.0,-1.9588499658574288,79.32651956906072,-3.7408852995428896,21.469710306971116
2020,621.3309436626732,1297.9180247318,588.6,623.7129845330492,819.9512273747521,2928,2928,1.0,5.560812718768809,120.50934840839278,5.965508755190136,39.30533934331499
2021,533.3695731784683,1015.7066603372805,498.4,529.7094881813973,695.7943769513413,2920,2920,1.0,7.0163670101260625,103.7934711752168,6.282000036395935,39.60561335299786
2022,613.9691349423355,1144.1241273041815,735.0,607.8919857754372,786.3631275117386,2920,2920,1.0,-16.46678436158701,55.66314657199748,-17.293607377491536,6.988180613841992
2023,437.5149548127991,812.8560356236994,461.3,441.8934897184372,549.5152292107056,2920,2920,1.0,-5.156090437286131,76.2098494740298,-4.206917468363931,19.123179971971723
2024,463.0898123164804,949.7852876735851,596.4,468.09998905286193,642.7464747019621,2928,2928,1.0,-22.352479490865125,59.253066343659476,-21.51240961554964,7.771038682421557
2025,531.9104961113296,975.213439787738,84.1,511.7849877225235,654.9156502527088,2184,2920,0.7479452054794521,532.4738360420091,1059.587918891484,508.5433861147723,678.7344236060746
