version,mean_abs_pbias,median_abs_pbias,max_abs_pbias,corr_ext_abs_pbias,mean_abs_extreme,mean_abs_normal,n_years
v2,9.48132116801355,7.458135602987104,32.15096104130957,0.2332981137286134,13.869051542025998,8.854502543154629,24
v3,7.309896554768045,4.953548069462265,26.777843069457504,0.15711515346206043,9.985860637229488,6.927615971559267,24
v4,7.047088646428841,4.927495158591711,26.777843069457504,0.1045857040832273,9.441637161025712,6.705010287200715,24
v5,4.1190754552548405,3.274279690072872,13.784238137075896,0.036667397063363055,4.9936297432231775,3.9941391284022196,24
